"language_code","english_full_name","chinese_full_name"
"aa","Afar","阿法尔语"
"ab","Abkhazian","阿布哈西亚语"
"af","Afrikaans","南非荷兰语"
"ak","Akan","阿坎语"
"am","Amharic","阿姆哈拉语"
"ar","Arabic","阿拉伯语"
"an","Aragonese","阿拉贡语"
"as","Assamese","阿萨姆语"
"av","Avaric","阿瓦尔语"
"ay","Aymara","艾马拉语"
"az","Azerbaijani","阿塞拜疆语"
"ba","Bashkir","巴什基尔语"
"be","Belarusian","白俄罗斯语"
"bg","Bulgarian","保加利亚语"
"bh","Bihari","比哈尔语"
"bi","Bislama","比斯拉马语"
"bm","Bambara","班巴拉语"
"bn","Bengali","孟加拉语"
"bo","Tibetan","藏语"
"br","Breton","布列塔尼语"
"bs","Bosnian","波斯尼亚语"
"ca","Catalan","加泰罗尼亚语"
"ce","Chechen","车臣语"
"ch","Chamorro","查莫罗语"
"co","Corsican","科西嘉语"
"cr","Cree","克里语"
"cs","Czech","捷克语"
"cu","Old Church Slavonic","古教会斯拉夫语"
"cv","Chuvash","楚瓦什语"
"cy","Welsh","威尔士语"
"da","Danish","丹麦语"
"de","German","德语"
"dv","Divehi","迪维希语"
"dz","Dzongkha","宗卡语"
"ee","Ewe","埃维语"
"el","Greek","希腊语"
"en","English","英语"
"eo","Esperanto","世界语"
"es","Spanish","西班牙语"
"et","Estonian","爱沙尼亚语"
"eu","Basque","巴斯克语"
"en","English","英语"
"eo","Esperanto","世界语"
"es","Spanish","西班牙语"
"et","Estonian","爱沙尼亚语"
"eu","Basque","巴斯克语"
"ha","Hausa","豪萨语"
"he","Hebrew","希伯来语"
"hi","Hindi","印地语"
"ho","Hiri Motu","希里莫图语"
"hr","Croatian","克罗地亚语"
"ha","Hausa","豪萨语"
"he","Hebrew","希伯来语"
"hi","Hindi","印地语"
"ho","Hiri Motu","希里莫图语"
"hr","Croatian","克罗地亚语"
"ha","Hausa","豪萨语"
"he","Hebrew","希伯来语"
"hi","Hindi","印地语"
"ho","Hiri Motu","希里莫图语"
"hr","Croatian","克罗地亚语"
"ht","Haitian","海地克里奥尔语"
"hu","Hungarian","匈牙利语"
"hy","Armenian","亚美尼亚语"
"hz","Herero","赫雷罗语"
"ia","Interlingua","国际语"
"ht","Haitian","海地克里奥尔语"
"hu","Hungarian","匈牙利语"
"hy","Armenian","亚美尼亚语"
"hz","Herero","赫雷罗语"
"ia","Interlingua","国际语"
"ht","Haitian","海地克里奥尔语"
"hu","Hungarian","匈牙利语"
"hy","Armenian","亚美尼亚语"
"hz","Herero","赫雷罗语"
"ia","Interlingua","国际语"
"lt","Lithuanian","立陶宛语"
"lu","Luba-Katanga","卢巴-加丹加语"
"lv","Latvian","拉脱维亚语"
"mg","Malagasy","马尔加什语"
"mh","Marshallese","马绍尔语"
"mi","Maori","毛利语"
"mk","Macedonian","马其顿语"
"ml","Malayalam","马拉雅拉姆语"
"mn","Mongolian","蒙古语"
"mh","Marshallese","马绍尔语"
"mi","Maori","毛利语"
"mk","Macedonian","马其顿语"
"ml","Malayalam","马拉雅拉姆语"
"mn","Mongolian","蒙古语"
"mh","Marshallese","马绍尔语"
"mi","Maori","毛利语"
"mk","Macedonian","马其顿语"
"ml","Malayalam","马拉雅拉姆语"
"mn","Mongolian","蒙古语"
"mr","Marathi","马拉地语"
"ms","Malay","马来语"
"mt","Maltese","马耳他语"
"my","Burmese","缅甸语"
"nv","Navajo","纳瓦霍语"
"ny","Chichewa","齐切瓦语"
